Classification,Confidence,Relative Path,Item Name,File Type,File Size,Xcode Project,Target Membership,Build Phase,Project Ref Present,Physical File Present,Static Ref Count,Dynamic Risk,Ref Locations,Reason,Manual Check
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/MostUsed/XLForm/XLForm.bundle/forwardarrowAr@2x.png,forwardarrowAr@2x.png,resource,2117,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/MostUsed/XLForm/XLForm.bundle/xlcheck@2x.png,xlcheck@2x.png,resource,778,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_blur@2x.png,jp_videoplayer_blur@2x.png,resource,7489,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_blur@3x.png,jp_videoplayer_blur@3x.png,resource,15262,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_landscape@2x.png,jp_videoplayer_landscape@2x.png,resource,540,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_landscape@3x.png,jp_videoplayer_landscape@3x.png,resource,902,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_pause@2x.png,jp_videoplayer_pause@2x.png,resource,509,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_pause@3x.png,jp_videoplayer_pause@3x.png,resource,654,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_play@2x.png,jp_videoplayer_play@2x.png,resource,3138,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_play@3x.png,jp_videoplayer_play@3x.png,resource,5521,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_portrait@2x.png,jp_videoplayer_portrait@2x.png,resource,1052,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_portrait@3x.png,jp_videoplayer_portrait@3x.png,resource,1504,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_progress_handler_hightlight@2x.png,jp_videoplayer_progress_handler_hightlight@2x.png,resource,1173,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_progress_handler_hightlight@3x.png,jp_videoplayer_progress_handler_hightlight@3x.png,resource,2161,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_progress_handler_normal@2x.png,jp_videoplayer_progress_handler_normal@2x.png,resource,671,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/PhotosAnControllers/JPVideoPlayer/JPVideoPlayer.bundle/jp_videoplayer_progress_handler_normal@3x.png,jp_videoplayer_progress_handler_normal@3x.png,resource,1050,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/KafkaRefresh/Resource/Image.bundle/arrow48.png,arrow48.png,resource,560,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PGDatePicker/PGDatePicker.bundle/en.lproj/Localizable.strings,Localizable.strings,resource,493,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PGDatePicker/PGDatePicker.bundle/zh-Hans.lproj/Localizable.strings,Localizable.strings,resource,517,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PGDatePicker/PGDatePicker.bundle/zh-Hant.lproj/Localizable.strings,Localizable.strings,resource,519,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/ar.lproj/Localizable.strings,Localizable.strings,resource,432,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/back@2x.png,back@2x.png,resource,517,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/back@3x.png,back@3x.png,resource,773,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/cell-content-line-vertical@2x.png,cell-content-line-vertical@2x.png,resource,1267,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/cell-content-line-vertical@3x.png,cell-content-line-vertical@3x.png,resource,1298,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/cell-content-line@2x.png,cell-content-line@2x.png,resource,1308,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/cell-content-line@3x.png,cell-content-line@3x.png,resource,1025,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/clearImage@2x.png,clearImage@2x.png,resource,534,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/clearImage@3x.png,clearImage@3x.png,resource,554,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/close@2x.png,close@2x.png,resource,348,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/close@3x.png,close@3x.png,resource,466,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/empty@2x.png,empty@2x.png,resource,625,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/empty@3x.png,empty@3x.png,resource,935,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/en.lproj/Localizable.strings,Localizable.strings,resource,387,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/es.lproj/Localizable.strings,Localizable.strings,resource,417,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/fr.lproj/Localizable.strings,Localizable.strings,resource,440,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/search@2x.png,search@2x.png,resource,716,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/search@3x.png,search@3x.png,resource,2554,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/search_history@2x.png,search_history@2x.png,resource,663,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/search_history@3x.png,search_history@3x.png,resource,946,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/zh-Hans.lproj/Localizable.strings,Localizable.strings,resource,622,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/UIFieldsAndPicker/PYSearch/PYSearch.bundle/zh-Hant.lproj/Localizable.strings,Localizable.strings,resource,370,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/MainApp/GEMENI/PPNovaOutputPresentationChecklist.md,PPNovaOutputPresentationChecklist.md,resource,1515,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/MainApp/PAYMENTS/ORDER_CHECKOUT_AUDIT_README.md,ORDER_CHECKOUT_AUDIT_README.md,resource,11825,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/MianData_Files/en.lproj/LaunchScreen.storyboard,LaunchScreen.storyboard,resource,5716,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/Resources/NovaLoader.json,NovaLoader.json,resource,5684,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/Resources/thinking.json,thinking.json,resource,30842,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/ar.lproj/Localizable.strings,Localizable.strings,resource,214695,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/en.lproj/Localizable.strings,Localizable.strings,resource,171621,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/BirdsCards/Cells/CabelCollectionViewCell.m,CabelCollectionViewCell.m,source,11231,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/BirdsCards/Cells/CustomCollectionViewCell.m,CustomCollectionViewCell.m,source,4733,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/BirdsCards/Cells/JPCell.m,JPCell.m,source,805,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/BirdsCards/Cells/KBSwipeCell.m,KBSwipeCell.m,source,13289,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/BirdsCards/Cells/MainCollectionViewCell.m,MainCollectionViewCell.m,source,179,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/BirdsCards/Cells/StoriesReusableView.m,StoriesReusableView.m,source,264,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/BirdsCards/Cells/VideoCollectionViewCell.m,VideoCollectionViewCell.m,source,2089,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/BirdsCards/Cells/archiveCell.m,archiveCell.m,source,2290,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/BirdsCards/Cells/trashChildCell.m,trashChildCell.m,source,2997,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/BirdsCards/Cells/uploadedCollectionViewCell.m,uploadedCollectionViewCell.m,source,798,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/BirdsCards/FullScreenVideoViewController.m,FullScreenVideoViewController.m,source,8533,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/BirdsCards/MainControllerFiles/MainController_Func.m,MainController_Func.m,source,592,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/Bridges/UnifiedBlurHash/SwiftUI.Image+BlurHash.swift,SwiftUI.Image+BlurHash.swift,source,1868,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/Bridges/UnifiedBlurHash/UnifiedImage+Decode.swift,UnifiedImage+Decode.swift,source,5629,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/Bridges/UnifiedBlurHash/UnifiedImage+Encode.swift,UnifiedImage+Encode.swift,source,6629,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/Bridges/UnifiedBlurHash/UnifiedImage+Scale.swift,UnifiedImage+Scale.swift,source,2536,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/Bridges/UnifiedBlurHash/UnifiedImage.swift,UnifiedImage.swift,source,1105,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DataClasses/BirdsCardsDataClassess/ReminderManager.m,ReminderManager.m,source,3120,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DataClasses/YYKit/Base/Quartz/YYCGUtilities.m,YYCGUtilities.m,source,10761,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DataClasses/YYKit/Text/String/YYTextParser.m,YYTextParser.m,source,20613,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DataClasses/YYKit/Text/String/YYTextUtilities.m,YYTextUtilities.m,source,3583,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/Helpers/DZNEmptyDataSet/EmptyDataManager.m,EmptyDataManager.m,source,8213,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/Helpers/PastyPresent/UIActivityIndicator.m,UIActivityIndicator.m,source,4924,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/MostUsed/XLForm/XL/Cell/DeliverySwitchCell.m,DeliverySwitchCell.m,source,2360,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/MostUsed/XLForm/XL/Cell/PhoneNumberCell.m,PhoneNumberCell.m,source,1833,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/MostUsed/XLForm/XL/Cell/XLFormImageSelectorCell.m,XLFormImageSelectorCell.m,source,12934,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/MostUsed/XLForm/XL/XLForm.m,XLForm.m,source,4151,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/PP/MatchedTransitions/MatchedGeometryModifier.swift,MatchedGeometryModifier.swift,source,1637,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/PP/MatchedTransitions/MatchedHostingController.swift,MatchedHostingController.swift,source,817,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/PP/PPComponent/PPProductCard.m,PPProductCard.m,source,11067,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/PP/PPComponent/PPSectionHeader.m,PPSectionHeader.m,source,3249,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/PP/PPFormEngine/PPFormEngineUsageExample.m,PPFormEngineUsageExample.m,source,3663,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/PP/PPImagePicker+Viewer/QBCheckmarkView.m,QBCheckmarkView.m,source,2675,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/PP/PPNAV/PPBottomBarManager.m,PPBottomBarManager.m,source,3459,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/PP/PPNAV/PPNavBarTitleView.m,PPNavBarTitleView.m,source,5815,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/PP/PPStyles/HJCarouselViewLayout.m,HJCarouselViewLayout.m,source,6765,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/PP/PPStyles/PPTextField.m,PPTextField.m,source,3904,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
HIGH-CONFIDENCE UNUSED CANDIDATE,High,Pure Pets/DesignFiles/PhotosAnControllers/Introduction/GuideView.m,GuideView.m,source,4398,Pure Pets.xcodeproj,Pure Pets,Sources,Yes,Yes,0,No,,Compiled but no static references to its declarations,Check for reflective/runtime usage before removal
